img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_power-pro-kun-pocket-13_345JapanFront.jpg,Power Pro Kun Pocket 13,DS,sports,Konami,Pawapuro Production,7.3,0.13,0.0,0.13,0.0,0.0,2010-11-25,
/games/boxart/4722423ccc.jpg,MLB Power Pros 2008,WII,sports,2K Sports,Pawapuro Production,7.3,0.13,0.11,0.01,0.0,0.01,2008-07-29,
/games/boxart/8060289ccc.jpg,Backyard Baseball,GC,sports,Infogrames,Humongous Entertainment,7.3,0.13,0.1,0.0,0.03,0.0,2003-03-31,
/games/boxart/2819566ccc.jpg,All-Star Baseball 2004,XB,sports,Acclaim Entertainment,Acclaim Entertainment,7.3,0.13,0.1,0.0,0.03,0.0,2003-02-23,
/games/boxart/full_7667345AmericaFrontccc.jpg,No Fear Downhill Mountain Biking,PS,sports,Codemasters,Sting,7.3,0.13,0.07,0.0,0.05,0.01,1999-11-30,
/games/boxart/full_5946060AmericaFrontccc.jpeg,Pro Evolution Soccer 2016,X360,sports,Konami Digital Entertainment,Pes Productions,7.3,0.13,0.07,0.0,0.05,0.01,2015-09-15,2018-04-14
/games/boxart/9192036ccc.jpg,Cabela's Alaskan Adventure,X360,sports,Activision,Activision,7.3,0.13,0.12,0.0,0.0,0.01,2006-09-19,
/games/boxart/8555429ccc.jpg,FIFA World Cup Germany 2006,GC,sports,Ea Sports,Ea Canada,7.7,0.13,0.1,0.0,0.03,0.0,2006-04-24,
/games/boxart/full_3300623JapanFrontccc.jpg,Pro Baseball Famista Climax,3DS,sports,Namco Bandai Games,Namco Bandai Games,7.3,0.13,0.0,0.13,0.0,0.0,2017-04-20,2018-07-03
/games/boxart/full_8278753AmericaFrontccc.jpg,Nagano Winter Olympics '98,PS,sports,Konami,Konami,7.3,0.13,0.07,0.0,0.05,0.01,1997-12-31,
/games/boxart/full_my-fitness-coach-club_14PALFront.jpg,My Fitness Coach: Club,PS3,sports,Ubisoft,Ubisoft,7.3,0.13,0.0,0.0,0.11,0.02,2011-03-18,
/games/boxart/full_3190520AmericaFrontccc.jpg,Smash Court Tennis Pro Tournament 2,PS2,sports,Namco,Namco,7.3,0.13,0.06,0.0,0.05,0.02,2004-06-08,
/games/boxart/1620148ccc.jpg,NHL 2K8,X360,sports,2K Sports,Kush Games,7.3,0.13,0.11,0.0,0.01,0.01,2007-09-10,
/games/boxart/full_9080250JapanFrontccc.jpg,Jikkyou Powerful Pro Baseball 2016,PS3,sports,Konami Digital Entertainment,Konami Digital Entertainment,7.3,0.13,0.0,0.13,0.0,0.0,2016-04-28,
/games/boxart/full_1293697AmericaFrontccc.jpg,The BIGS 2,PS3,sports,2K Sports,Blue Castle Games,7.3,0.13,0.12,0.0,0.0,0.01,2009-07-07,
/games/boxart/full_8348409JapanFrontccc.jpg,Soccer Tsuku DS: World Challenge 2010,DS,sports,Sega,Sega,7.3,0.13,0.0,0.13,0.0,0.0,2010-05-27,
/games/boxart/full_1887608JapanFrontccc.jpg,World Soccer Winning Eleven 2002,PS,sports,Konami,Konami,7.3,0.13,0.0,0.12,0.0,0.01,2002-04-25,
